test_ligand,auroc,aupr,aupr_corrected,pearson,receiver_context,ligand_clean,n_receiver_genes,n_background_genes,n_potential_ligands,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet,activity_rank_within_receiver
IL6,0.5644009576350565,0.04834250438843226,0.02382807859171342,0.09813231479986205,Cerebrovascular cells,IL6,130,5303,282,IL6,7,1.01949240167606,0.5334181815870735,Vascular,Vascular,Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,F3;IL6R_IL6ST,IL6 - F3;IL6 - IL6R/IL6ST,TRUE,1
PDGFB,0.5703965858228363,0.04655512632466208,0.022040700527943238,0.0828667432810737,Cerebrovascular cells,PDGFB,130,5303,282,PDGFB,22,1.042099620106438,0.54826221675634,Microglia;Vascular,Vascular,CapEC_ActMid;Cerebrovascular_Pericyte;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGAV;LRP1;PDGFRA_PDGFRB;S1PR1,PDGFB - ITGAV;PDGFB - LRP1;PDGFB - PDGFRA/PDGFRB;PDGFB - S1PR1,TRUE,2
VEGFA,0.5786926199646065,0.04381155160753519,0.019297125810816353,0.08089401331995297,Cerebrovascular cells,VEGFA,130,5303,282,VEGFA,91,1.174295557027348,0.5664572891084694,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;EGFR;FLT1_KDR;ITGA9;ITGAV,VEGFA - CD44;VEGFA - EGFR;VEGFA - FLT1/KDR;VEGFA - ITGA9;VEGFA - ITGAV,TRUE,3
EGF,0.5654195601421579,0.051029413456756934,0.026514987660038094,0.07598122648864483,Cerebrovascular cells,EGF,130,5303,282,EGF,26,0.874907023146111,0.3078184550796899,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,AXL;CAV1;EGFR_ERBB2;LDLR;NRP1,EGF - AXL;EGF - CAV1;EGF - EGFR/ERBB2;EGF - LDLR;EGF - NRP1,TRUE,4
B2M,0.5632425760977857,0.04317793879072392,0.018663512994005083,0.07030679926142971,Cerebrovascular cells,B2M,130,5303,282,B2M,32,1.74837457893356,0.49823199798370504,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,KLRD1;TFRC,B2M - KLRD1;B2M - TFRC,TRUE,5
FGF2,0.5585614655980006,0.042348279319701164,0.017833853522982324,0.06729388189632642,Cerebrovascular cells,FGF2,130,5303,282,FGF2,67,1.37157227760847,0.44988688839233115,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;FGFR1;FGFR2;FGFRL1;GPC4,FGF2 - CD44;FGF2 - FGFR1;FGF2 - FGFR2;FGF2 - FGFRL1;FGF2 - GPC4,TRUE,6
IL1B,0.5767788368600281,0.03951296996827528,0.014998544171556442,0.06111345097499867,Cerebrovascular cells,IL1B,130,5303,282,IL1B,3,0.259926660246645,0.11064926485567318,Microglia,Vascular,Micro_DAM,CapEC_ActMid;Cerebrovascular_Pericyte,IL1R1_IL1RAP;SIGIRR,IL1B - IL1R1/IL1RAP;IL1B - SIGIRR,TRUE,7
LRIG1,0.5641898020788413,0.03904715191995495,0.014532726123236108,0.06061299992493788,Cerebrovascular cells,LRIG1,130,5303,282,LRIG1,17,1.8377587547715803,0.5780611974910613,Astrocyte;Microglia;Vascular,Vascular,Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGFR,LRIG1 - EGFR,TRUE,8
SELPLG,0.5621124477687371,0.04528883495299746,0.02077440915627862,0.060211318085037595,Cerebrovascular cells,SELPLG,130,5303,282,SELPLG,5,0.6121493832200602,0.306656996223442,Microglia,Vascular,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,ESAM,SELPLG - ESAM,FALSE,9
CSF1,0.5636886793855659,0.03636422690256517,0.011849801105846328,0.0570817778726009,Cerebrovascular cells,CSF1,130,5303,282,CSF1,3,0.8727864825937641,0.46572433165239446,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SIRPA,CSF1 - SIRPA,TRUE,10
THBS1,0.5586819134857007,0.03518509198802931,0.010670666191310473,0.056931809920013884,Cerebrovascular cells,THBS1,130,5303,282,THBS1,41,1.20723982871998,0.3484300068707913,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD47;ITGA3_ITGB1;ITGA6;LRP1;LRP5,THBS1 - CD47;THBS1 - ITGA3/ITGB1;THBS1 - ITGA6;THBS1 - LRP1;THBS1 - LRP5,TRUE,11
IGF1,0.5748159823937908,0.03765260867365924,0.013138182876940397,0.05660252027120348,Cerebrovascular cells,IGF1,130,5303,282,IGF1,2,0.355972268654036,0.335832315880692,Microglia,Vascular,Micro_Homeostatic,Cerebrovascular_Pericyte;Cerebrovascular_Venous,IGF1R,IGF1 - IGF1R,TRUE,12
ICAM1,0.5568395069071641,0.03876677711896321,0.01425235132224437,0.05617095237856845,Cerebrovascular cells,ICAM1,130,5303,282,ICAM1,23,0.92175323110981,0.47897462806203517,Astrocyte;Vascular,Vascular,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CAV1;EGFR,ICAM1 - CAV1;ICAM1 - EGFR,TRUE,13
