test_ligand,auroc,aupr,aupr_corrected,pearson,ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples
EGF,0.5654195601421579,0.051029413456756934,0.026514987660038094,0.07598122648864483,EGF,EGF,26,0.874907023146111,0.3078184550796899,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGF - AXL;EGF - CAV1;EGF - EGFR/ERBB2;EGF - LDLR;EGF - NRP1
FGF1,0.5615741498014835,0.049211020097509856,0.024696594300791016,0.0209747816192597,FGF1,FGF1,9,0.5213211611721902,0.207519724733655,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FGF1 - EGFR;FGF1 - FGFR1;FGF1 - NRP1;FGF1 - TGFBR3
PDGFB,0.5703965858228363,0.04655512632466208,0.022040700527943238,0.0828667432810737,PDGFB,PDGFB,9,0.668460917522561,0.3469469270210793,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PDGFB - ITGAV;PDGFB - PDGFRA/PDGFRB;PDGFB - S1PR1
SELPLG,0.5621124477687371,0.04528883495299746,0.02077440915627862,0.060211318085037595,SELPLG,SELPLG,5,0.6121493832200602,0.306656996223442,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,SELPLG - ESAM
VEGFA,0.5786926199646065,0.04381155160753519,0.019297125810816353,0.08089401331995297,VEGFA,VEGFA,32,1.09026090801952,0.5159945373076534,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,VEGFA - EGFR;VEGFA - FLT1/KDR;VEGFA - ITGAV;VEGFA - ITGB1;VEGFA - NRP1
B2M,0.5632425760977857,0.04317793879072392,0.018663512994005083,0.07030679926142971,B2M,B2M,12,1.2969522254085268,0.5019023676024115,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,B2M - KLRD1;B2M - TFRC
FGF2,0.5585614655980006,0.042348279319701164,0.017833853522982324,0.06729388189632642,FGF2,FGF2,40,1.37157227760847,0.5771758849624715,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FGF2 - CD44;FGF2 - FGFR1;FGF2 - FGFR2;FGF2 - FGFRL1;FGF2 - GPC4
ANGPT1,0.5747683980430924,0.040247890483438645,0.015733464686719805,0.051015374736025396,ANGPT1,ANGPT1,34,1.281427706197701,0.5763695280182293,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ANGPT1 - ITGA5;ANGPT1 - ITGB1;ANGPT1 - TEK;ANGPT1 - TIE1
PDGFC,0.5711133251052052,0.03988173630252739,0.015367310505808553,0.051733520000678414,PDGFC,PDGFC,23,1.30913336828501,0.455095854242488,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PDGFC - FLT1;PDGFC - FLT4;PDGFC - KDR;PDGFC - PDGFRA;PDGFC - PDGFRB
IL1B,0.5767788368600281,0.03951296996827528,0.014998544171556442,0.06111345097499867,IL1B,IL1B,3,0.259926660246645,0.11064926485567318,Microglia,Micro_DAM,CapEC_ActMid;Cerebrovascular_Pericyte,IL1B - IL1R1/IL1RAP;IL1B - SIGIRR
TNFSF10,0.5652113786078591,0.039451236770952226,0.014936810974233387,0.05465794240518533,TNFSF10,TNFSF10,5,0.35682928456193397,0.2272894915905188,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,TNFSF10 - TNFRSF10A;TNFSF10 - TNFRSF10B;TNFSF10 - TNFRSF10D
IL18,0.5635236211690882,0.03937409102613236,0.01485966522941352,0.021453064993090822,IL18,IL18,4,1.62212515210362,1.45686957753065,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;Cerebrovascular_Pericyte,IL18 - IL18BP;IL18 - IL1RL2
LRIG1,0.5641898020788413,0.03904715191995495,0.014532726123236108,0.06061299992493788,LRIG1,LRIG1,8,1.8377587547715803,0.9264407820516828,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LRIG1 - EGFR
ICAM1,0.5568395069071641,0.03876677711896321,0.01425235132224437,0.05617095237856845,ICAM1,ICAM1,5,0.6449973342052531,0.293228661652844,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,ICAM1 - CAV1;ICAM1 - EGFR
HGF,0.5729839848919677,0.03860907285063698,0.014094647053918139,0.05572270123142437,HGF,HGF,40,1.8289244916678904,0.5838890885732314,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,HGF - CD44;HGF - ITGB1;HGF - NRP1;HGF - SDC2
IGF1,0.5748159823937908,0.03765260867365924,0.013138182876940397,0.05660252027120348,IGF1,IGF1,2,0.355972268654036,0.335832315880692,Microglia,Micro_Homeostatic,Cerebrovascular_Pericyte;Cerebrovascular_Venous,IGF1 - IGF1R
HLA-A,0.57232523903701,0.037119460145999726,0.012605034349280887,0.05098043847014054,HLA-A,HLA-A,3,0.0771106242199461,0.06346834323887313,Microglia,Micro_DAM,CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,HLA-A - APLP2
JAM2,0.5890630343945643,0.03645724745065242,0.011942821653933584,0.05398759323104328,JAM2,JAM2,24,0.4955582572260221,0.19491495995295893,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,JAM2 - ITGA3/ITGB1;JAM2 - ITGA4/ITGB1;JAM2 - ITGAV/ITGB1
CD38,0.5527844280212332,0.036309294341908674,0.011794868545189834,0.04691728386324003,CD38,CD38,1,0.17367182774143997,0.17367182774143997,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte,CD38 - PECAM1
LGALS1,0.5713348897381346,0.03604748300725464,0.0115330572105358,0.055158775208044186,LGALS1,LGALS1,5,0.111395591953447,0.04849753279598003,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,LGALS1 - ITGB1
TGFA,0.562069324450921,0.03600102968564901,0.011486603888930167,0.03902264800645024,TGFA,TGFA,2,0.238300838978713,0.1838023306369605,Microglia,Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,TGFA - EGFR/ERBB2
NECTIN3,0.5670285060000887,0.03586280304665814,0.011348377249939302,0.05123633848839087,NECTIN3,NECTIN3,14,0.6671408416362281,0.2445057116820711,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NECTIN3 - NECTIN2;NECTIN3 - PVR
VEGFB,0.5663043316629238,0.0356423376094902,0.011127911812771358,0.0356080008401804,VEGFB,VEGFB,23,2.32986974754504,0.600184139368093,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,VEGFB - FLT1/KDR;VEGFB - NRP1
SERPINE1,0.570569079094113,0.03561675762321061,0.011102331826491767,0.03675672509028775,SERPINE1,SERPINE1,5,0.764747245755548,0.3255590847857495,Microglia,Micro_Homeostatic,CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SERPINE1 - ITGB5;SERPINE1 - LRP1;SERPINE1 - PLAUR
ADAM17,0.5612425463575644,0.03554571061065049,0.01103128481393165,0.03600403649363463,ADAM17,ADAM17,50,1.079612716113008,0.23390718024202742,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM17 - IL6R;ADAM17 - ITGA5;ADAM17 - ITGB1;ADAM17 - NOTCH1;ADAM17 - RHBDF2
SPON1,0.554143556038008,0.0355409565758055,0.01102653077908666,0.03274875678639753,SPON1,SPON1,18,1.6926432282078796,0.6285734255047708,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SPON1 - APP;SPON1 - LRP8
VEGFD,0.5761929545420741,0.03550824120521053,0.010993815408491692,0.04001987206503533,VEGFD,VEGFD,32,0.958486547301185,0.3882960683682013,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,VEGFD - FLT1;VEGFD - FLT4/KDR;VEGFD - ITGA1;VEGFD - ITGA2;VEGFD - ITGA4
ITGB2,0.5559963716932573,0.0354393226063147,0.010924896809595862,0.042860326037868754,ITGB2,ITGB2,5,0.12759462422415907,0.060087874506329415,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGB2 - THY1
TGFB1,0.5890303201534576,0.035315412335337935,0.010800986538619096,0.0525827260875675,TGFB1,TGFB1,114,2.87124744157456,0.23019039792360152,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,TGFB1 - ACVR1/TGFBR1/TGFBR2;TGFB1 - ACVR1/TGFBR2;TGFB1 - ACVR1B/TGFBR2;TGFB1 - ACVR1C/TGFBR2;TGFB1 - ACVRL1
LGALS9,0.5792561971181722,0.03530160223854831,0.010787176441829468,0.04794745700703071,LGALS9,LGALS9,16,0.66468234800319,0.21306220287533897,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LGALS9 - CD44;LGALS9 - CD47;LGALS9 - COLEC12;LGALS9 - HAVCR2;LGALS9 - LRP1
